,City,Lat,Lng,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,-33.9258,18.4232,ZA,1657899713,64.81,76,0,76
1,Vanimo,-2.6741,141.3028,PG,1657899713,76.86,91,86,91
2,Neuquén,-38.9516,-68.0591,AR,1657899554,39.09,87,75,87
3,Avarua,-21.2078,-159.775,CK,1657899714,73.45,60,75,60
4,Beringovskiy,63.05,179.3167,RU,1657899714,46.22,82,43,82
5,Bluff,-46.6,168.3333,NZ,1657899714,36.81,74,39,74
6,Alta Floresta,-9.8756,-56.0861,BR,1657899715,96.62,34,0,34
7,Saskylakh,71.9167,114.0833,RU,1657899715,48.56,62,3,62
8,Barrow,71.2906,-156.7887,US,1657899716,33.82,86,100,86
9,Saint-Philippe,-21.3585,55.7679,RE,1657899716,71.19,84,61,84
10,George Town,5.4112,100.3354,MY,1657899514,82.35,88,20,88
11,Taiyuan,37.8694,112.5603,CN,1657899717,69.66,83,20,83
12,East London,-33.0153,27.9116,ZA,1657899717,61.74,82,20,82
13,Ushuaia,-54.8,-68.3,AR,1657899718,35.26,55,20,55
14,Jamestown,42.097,-79.2353,US,1657899552,77.02,53,0,53
15,Tasiilaq,65.6145,-37.6368,GL,1657899718,44.76,70,100,70
16,Shelburne,44.0787,-80.2041,CA,1657899551,73.9,34,6,34
17,Hong Kong,22.2855,114.1577,HK,1657898867,87.33,83,98,83
18,Hilo,19.7297,-155.09,US,1657899719,78.28,97,100,97
19,Pemangkat,1.1667,108.9667,ID,1657899719,79.63,81,10,81
20,Charters Towers,-20.1,146.2667,AU,1657899720,52.92,79,2,79
21,Juegang,32.3174,121.1855,CN,1657899720,82.9,93,91,93
22,Nekhayevskiy,50.4106,41.7561,RU,1657899720,75.69,52,0,52
23,Punta Arenas,-53.15,-70.9167,CL,1657899720,28.42,86,40,86
24,Carnarvon,-24.8667,113.6333,AU,1657899721,67.15,68,0,68
25,Campoverde,-8.4753,-74.8058,PE,1657899721,85.69,49,2,49
26,Saint Paul Harbor,57.79,-152.4072,US,1657899722,54.91,88,0,88
27,Bethel,41.3712,-73.414,US,1657899519,82.72,48,0,48
28,Rikitea,-23.1203,-134.9692,PF,1657899722,68.34,71,100,71
29,Nikolskoye,59.7035,30.7861,RU,1657899722,67.89,58,100,58
30,Dikson,73.5069,80.5464,RU,1657899723,45.12,79,59,79
31,Atuona,-9.8,-139.0333,PF,1657899723,76.91,71,12,71
32,Busselton,-33.65,115.3333,AU,1657899724,58.66,71,90,71
33,Nemuro,43.3236,145.575,JP,1657899724,60.08,88,97,88
34,Hermanus,-34.4187,19.2345,ZA,1657899724,59.23,76,100,76
35,Bambous Virieux,-20.3428,57.7575,MU,1657899725,70.05,83,40,83
36,Iralaya,15.0,-83.2333,HN,1657899725,83.14,75,100,75
37,Alice Springs,-23.7,133.8833,AU,1657899725,35.15,51,0,51
38,Meybod,32.2501,54.0166,IR,1657899726,95.02,9,0,9
39,Berlevåg,70.8578,29.0864,NO,1657899726,76.95,41,41,41
40,Mandera,3.9366,41.867,KE,1657899726,84.94,43,91,43
41,Lagoa,39.05,-27.9833,PT,1657899727,69.01,87,19,87
42,Lavrentiya,65.5833,-171.0,RU,1657899727,43.3,73,96,73
43,Puerto Ayora,-0.7393,-90.3518,EC,1657899727,73.36,93,97,93
44,Port Alfred,-33.5906,26.891,ZA,1657899728,61.18,81,4,81
45,Pevek,69.7008,170.3133,RU,1657899728,35.13,75,100,75
46,Vaini,-21.2,-175.2,TO,1657899728,75.36,94,20,94
47,Dingle,10.9995,122.6711,PH,1657899729,76.96,91,84,91
48,Albany,42.6001,-73.9662,US,1657899086,79.43,47,0,47
49,Mar del Plata,-38.0023,-57.5575,AR,1657899729,54.09,95,100,95
50,Nouadhibou,20.931,-17.0347,MR,1657899730,75.18,73,4,73
51,Talnakh,69.4865,88.3972,RU,1657899550,61.21,56,67,56
52,Kavieng,-2.5744,150.7967,PG,1657899730,80.33,79,81,79
53,Diapaga,12.0708,1.7889,BF,1657899730,95.0,38,69,38
